county_id,amt,cont_cnt
18035,196144.0,2109
18037,152194.0,469
18039,650988.0,3640
18041,48906.0,357
18043,164291.0,1857
18045,50730.0,398
18047,80338.0,663
18049,34582.0,335
18051,85767.0,942
18053,36663.0,830
18055,96804.0,1128
18057,9898392.0,18471
18059,368433.0,3285
18061,64019.0,756
18063,937317.0,6170
18065,144378.0,792
18067,130292.0,1424
18069,118407.0,912
18071,214377.0,917
18073,86292.0,1260
18075,22128.0,245
18077,30750.0,390
18079,43651.0,293
18081,332157.0,3693
18083,32101.0,345
18085,198820.0,1606
18087,51194.0,444
18089,938504.0,10297
18091,293396.0,3779
18093,37824.0,542
18095,296711.0,2521
18097,5906401.0,29237
18099,309326.0,1141
18101,23584.0,334
18103,88295.0,821
18105,526135.0,4803
18107,42463.0,323
18109,160101.0,1748
18111,64940.0,615
18113,76854.0,675
18115,8960.0,144
18117,26699.0,252
18119,77660.0,772
18121,60967.0,507
18123,23801.0,340
18125,15386.0,225
18127,615712.0,8084
18129,83656.0,624
18131,30532.0,484
18133,65921.0,663
18135,31914.0,217
18137,55175.0,625
18139,148311.0,963
18141,1817782.0,8905
18143,12105.0,189
18145,206601.0,2127
18147,45002.0,380
18149,38197.0,893
18151,42044.0,453
18153,18266.0,172
18155,23447.0,314
18157,313338.0,2849
18159,93415.0,1150
18161,21872.0,203
18163,476864.0,4163
18165,21448.0,275
18167,124394.0,1169
18169,93560.0,939
18171,161843.0,1400
18173,126169.0,1190
18175,31496.0,390
18177,94691.0,711
18179,129189.0,876
18181,193606.0,2190
18183,228170.0,1447
19001,45452.0,659
19003,21938.0,330
19005,95451.0,591
19007,31105.0,114
19009,74512.0,261
19011,150289.0,825
19013,331260.0,2587
19015,132754.0,2050
19017,194914.0,1552
19019,70992.0,460
19021,26178.0,166
19023,194569.0,1510
19025,18635.0,146
19027,54655.0,266
19029,53417.0,268
19031,94996.0,1996
19033,92808.0,597
19035,32036.0,215
19037,106977.0,197
19039,14775.0,217
19041,90643.0,308
19043,52589.0,344
19045,87821.0,829
19047,37268.0,308
19049,1460793.0,5889
19051,17395.0,174
19053,12409.0,65
19055,44489.0,377
19057,62275.0,378
19059,176927.0,491
19061,428386.0,1987
19063,12595.0,83
19065,83708.0,433
19067,67082.0,284
19069,54124.0,198
19071,33364.0,217
19073,45135.0,261
19075,159811.0,1455
19077,55872.0,335
19079,71306.0,788
19081,25571.0,330
19083,30544.0,155
19085,37866.0,554
19087,27091.0,155
19089,111766.0,132
19091,20370.0,203
19093,21582.0,109
19095,71486.0,378
19097,24777.0,298
19099,100089.0,928
19101,105751.0,1677
19103,911465.0,8402
19105,26370.0,260
19107,119421.0,1191
19109,164855.0,761
19111,32588.0,371
19113,820351.0,5969
19115,94266.0,491
19117,39104.0,107
19119,97960.0,333
19121,241766.0,1325
19123,233988.0,1522
19125,94684.0,501
19127,53210.0,641
19129,112176.0,1196
19131,63467.0,165
19133,15977.0,165
19135,33974.0,73
19137,28492.0,223
19139,109419.0,590
19141,34176.0,237
19143,24131.0,113
19145,28704.0,283
19147,29757.0,199
19149,131112.0,521
19151,16573.0,133
19153,5029955.0,19586
19155,224808.0,1808
19157,91161.0,498
19159,15506.0,120
19161,38218.0,248
19163,589302.0,5504
19165,93456.0,579
19167,293869.0,835
19169,258186.0,2846
19171,66922.0,629
19173,19494.0,195
19175,17245.0,352
19177,13166.0,150
19179,129214.0,1301
19181,1866950.0,3625
